age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
903,5,5,0,20,2,2,0,0,0,2,0
744,24,5,0,2,1,1,1,0,0,1,0
520,8,0,0,0,1,6,3,0,0,0,0
152,5,0,0,0,1,1,1,0,0,0,0
320,15,2,0,0,0,1,1,1,0,0,0
568,39,0,0,0,12,11,7,2,0,0,0
241,24,2,0,0,1,1,1,0,0,0,0
79,0,1,0,0,1,4,1,0,0,0,0
655,0,0,0,0,1,1,0,0,0,0,0
569,3,9,0,0,22,19,7,1,0,0,0
205,9,1,0,0,2,1,0,0,0,0,0
297,9,5,0,0,15,13,4,0,0,0,0
1011,0,0,0,0,0,20,0,0,0,0,0
440,7,1,0,0,0,39,0,0,0,0,0
33,2,0,0,0,4,3,1,0,0,0,0
53,4,0,0,0,0,2,2,0,0,0,0
684,4,1,0,0,1,2,1,0,0,0,0
94,44,12,0,1,2,4,2,1,2,1,0
1125,13,0,0,0,0,1,0,0,0,0,0
693,46,35,0,0,4,1,1,1,0,0,0
154,0,1,0,10,16,18,9,0,0,8,0
456,52,0,0,0,0,6,0,0,0,0,0
762,20,73,0,27,44,73,18,4,10,16,0
439,4,0,0,3,3,3,1,1,6,1,0
472,96,48,0,62,69,82,25,6,12,24,0
18,3,0,0,0,10,14,1,0,0,0,0
35,6,0,0,4,15,90,5,0,0,2,0
124,14,12,0,1,0,3,3,0,0,2,0
179,0,0,0,0,4,3,1,0,0,0,0
1130,14,7,0,5,8,8,2,0,2,2,0
