newcomer,age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
False,1388,1,52,0,368,256,301,75,6,311,73,1
False,1149,1,90,0,591,1434,1631,265,1,743,233,0
True,8,1,0,0,0,0,0,1,0,0,0,0
False,1487,3,3069,0,6333,3666,17015,120,3,853,98,1
False,1113,2,102,0,54,48,83,26,5,11,25,1
False,734,1,12,0,96,359,347,64,0,88,54,0
False,1487,3,3069,0,6333,3666,17015,120,3,853,98,1
False,1657,1,88,0,54,310,279,43,4,83,21,0
False,1493,3,3069,0,6356,3702,17140,126,3,857,104,1
True,1263,1,41,0,32,40,58,29,1,0,21,0
False,750,1,12,0,103,375,369,67,0,88,56,0
False,1263,1,41,0,32,40,58,29,1,0,21,0
False,1283,1,52,0,153,111,134,29,6,166,28,1
False,1263,1,41,0,32,40,58,29,1,0,21,0
False,1503,3,3069,0,6398,3731,17332,127,3,870,105,1
True,1084,1,90,0,591,1421,1611,263,1,724,233,0
False,1169,2,102,0,54,62,99,26,5,12,25,1
False,1084,1,90,0,591,1421,1611,263,1,724,233,0
False,1084,1,90,0,591,1421,1611,263,1,724,233,0
False,1543,3,3069,0,6702,3900,18231,141,3,967,118,1
False,516,0,2,0,0,19,13,4,1,0,0,0
False,836,3,14,0,73,312,356,66,0,33,38,0
False,516,0,2,0,0,19,13,4,1,0,0,0
False,726,1,12,0,88,340,334,61,0,83,51,0
False,1479,3,3069,0,6217,3596,16727,108,3,839,86,1
False,657,0,0,0,0,5,7,0,1,0,0,0
False,257,0,0,0,0,1,2,0,0,0,0,0
False,1467,1,23,0,6,14,25,5,1,0,3,0
False,688,0,2,0,0,10,10,4,0,0,0,0
False,516,0,2,0,0,19,13,4,1,0,0,0
False,657,0,0,0,0,5,7,0,1,0,0,0
False,1479,3,3069,0,6217,3596,16727,108,3,839,86,1
False,726,1,12,0,88,340,334,61,0,83,51,0
False,257,0,0,0,0,1,2,0,0,0,0,0
False,676,1,7,0,0,3,6,3,0,0,0,0
False,1496,3,3069,0,6370,3711,17212,127,3,861,105,1
False,506,0,7,0,67,177,185,63,1,59,52,0
False,1541,3,3069,0,6669,3893,18149,141,3,961,118,1
False,506,0,7,0,67,177,185,63,1,59,52,0
False,906,2,545,0,279,4205,4084,187,6,3488,124,2
False,507,1,4,0,44,34,40,7,0,10,5,0
