result,newcomer,age,repos,commit_comments,commits,issue_comments,issue_events,issues,pr_comments,prs
1,1,1.0411,0,0,0,0.47712125471966244,0.6020599913279623,0.30102999566398114,0,0
0,1,2.3534,0.30102999566398114,2.1271047983648073,3.744918542441353,3.3465485585484736,3.9999131324165713,1.447158031342219,2.622214022966295,1.2787536009528289
0,1,2.3068,0.30102999566398114,2.123851640967086,3.7356787259059043,3.332438459915605,3.9841220828611097,1.414973347970818,2.6106601630898796,1.2304489213782739
1,1,0.0274,0.0,0,0.6989700043360187,1.6812412373755872,1.3979400086720375,0.47712125471966244,1.5051499783199058,0.47712125471966244
0,1,2.3014,0.30102999566398114,2.123851640967086,3.7342396044354547,3.329194415088451,3.979775932729685,1.414973347970818,2.608526033577194,1.2304489213782739
0,1,2.2932,0.30102999566398114,2.123851640967086,3.731185707634,3.324693913861774,3.972202838379064,1.3617278360175928,2.605305046141109,1.2304489213782739
1,1,0.0,0,0,0,0,0,0,0,0
1,1,1.2521,0.0,0,0.8450980400142567,0.6020599913279623,0.9030899869919434,0.6989700043360187,0,0.6989700043360187
0,1,2.2877,0.30102999566398114,2.123851640967086,3.7281913985899466,3.321184027302314,3.9641181431514845,1.3617278360175928,2.605305046141109,1.2304489213782739
1,1,0.1014,0.0,0,0,0.47712125471966244,0.8450980400142567,0,0.47712125471966244,0
0,1,2.2767,0.30102999566398114,2.123851640967086,3.7277038836853538,3.3199384399803082,3.9619902874400648,1.3617278360175928,2.602059991327962,1.2304489213782739
1,1,0.0,0,0,0,0,0,0,0,0
0,1,2.2466,0.30102999566398114,2.117271295655764,3.718916686014861,3.305136318943639,3.932016906434201,1.3424226808222062,2.5899496013257073,1.2304489213782739
1,1,0.0082,0.0,0,0,0.0,0.0,0,0,0
0,1,2.0877,0.30102999566398114,2.110589710299249,3.6972293427597167,3.26030994579492,3.860038389807193,1.2787536009528289,2.5390760987927767,1.2041199826559246
1,1,0.7096,0,0.0,0.0,0.47712125471966244,0.6020599913279623,0.0,0,0.0
0,1,2.0795,0.30102999566398114,2.110589710299249,3.695481676490197,3.255513712819533,3.852662944344569,1.2787536009528289,2.5327543789924976,1.2041199826559246
1,1,0.737,0.0,0,1.2304489213782739,0.8450980400142567,2.3031960574204886,1.2304489213782739,0,1.1461280356782377
0,1,2.0548,0.30102999566398114,2.110589710299249,3.6936390261615477,3.2516382204482115,3.8436687229791437,1.2787536009528289,2.518513939877887,1.2041199826559246
1,1,1.6384,0.0,1.3617278360175928,1.7323937598229684,1.8808135922807911,1.9493900066449126,1.5440680443502754,1.2552725051033058,1.5051499783199058
0,1,2.0438,0.30102999566398114,2.110589710299249,3.691258358133111,3.2472365495067637,3.839478047374198,1.2787536009528289,2.517195897949974,1.2041199826559246
0,1,1.9644,0.30102999566398114,2.0969100130080562,3.6767850304192047,3.2289134059946876,3.806044235748088,1.2552725051033058,2.4983105537896004,1.1760912590556811
0,1,1.8932,0.30102999566398114,2.0791812460476247,3.6632296345328674,3.193958978019187,3.765370480291648,1.2041199826559246,2.4593924877592306,1.1461280356782377
0,1,0.7151,0.0,1.591064607026499,2.4232458739368075,2.34439227368511,2.322219294733919,2.045322978786657,1.9637878273455551,2.0334237554869494
0,1,1.8438,0.30102999566398114,2.064457989226918,3.6515687388657914,3.1652443261253107,3.7335984609613386,1.2041199826559246,2.376576957056512,1.1461280356782377
1,1,0.5205,0.0,0,0.0,0,0.0,0.0,0,0.0
